,Rank,NCTId,PrimaryCompletionDate,BriefSummary,BriefTitle,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,PrimaryOutcomeDescription,Phase,Condition,ConditionMeshTerm,LocationCountry
0,1,NCT04383652,"June 30, 2022","The objectives of this study are to characterise immune responses in people with CoV-SARS-2 infection and use this knowledge to advance vaccine design, treatment options, and diagnostic reagents. Eligible participants will include people diagnosed with SARS-CoV-2 infection, and may include recently returned travellers and non-travellers in the community presenting to tertiary hospital healthcare facilities. Recruitment will be opportunistic, and sampling intensity may vary depending on the phase of the outbreak. Participants can be enrolled at any timepoint (up to 6 months) following diagnosis of SARS-CoV-2 infection (COVID-19). Blood samples and clinical data will be collected.",Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales,,,The viruses will be sequenced to to help understand epitope specificity,,COVID,Coronavirus Infections,Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia
1,2,NCT04461925,"May 2, 2021",Assessment of the clinical effects of infusions of cryopreserved allogeneic multipotent mesenchymal stem cells of the placenta and umbilical cord for COVID-19 patients with acute respiratory distress syndrome.,Treatment of Coronavirus COVID-19 Pneumonia (Pathogen SARS-CoV-2) With Cryopreserved Allogeneic P_MMSCs and UC-MMSCs,,,"Improvement of pulmonary function. Arterial oxygen tension PaO2 (in mmHg)/fractional inspired oxygen FiO2 (expressed as a fraction, not a percentage), most conveniently the P/F ratio. The normal P/F ratio is ~ 400-500 mmHg (~55-65 kPa). P/F ratio <300mmHg - sign of Acute Respiratory Distress Syndrome (ARDS)|Length of Hospital Stay|Marker for efficacy of treatment",Phase 1|Phase 2,COVID-19 Pneumonia,COVID-19|Pneumonia,Ukraine
2,3,NCT04404244,"January 1, 2022","This is a prospective follow-up non-intervention study that will be carried out at Hematology/ Oncology Department, Children's hospital, Ain-Shams University, Cairo, Egypt. All followed-up children below 18 years with cancer during the one year study period from May 2020 till Apr 2021 either at the out-patients clinic or inpatient department will be recruited.",Extraordinary Measures for Egyptian Children With Hemato-Oncological Disorders During COVID-19 Pandemic,Ain Shams University,Fatma Soliman Elsayed Ebeid,Measure the incidence of COVID-19 infection among children with cancer,,Coronavirus COVID-19,COVID-19,Egypt
3,4,NCT04401644,December 2021,Using Laser light to detect COVID 19 virus particles in deep throat swab / nasal swab samples.,COVID-19: Laser Interferometry for Rapid Single Coronavirus Detection,,,level of agreement between novel test and standard test,Not Applicable,Diagnoses Disease|Coronavirus,Coronavirus Infections,United Kingdom
4,5,NCT04379076,"October 30, 2021",Comparison of the effects of CYT107 vs Placebo administered IM at 10µg/kg twice a week for two weeks on immune reconstitution of lymphopenic COVID-19 patients.,InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort,,,A statistically significant increase of the absolute lymphocyte count (ALC) from randomization to day 30 or Hospital Discharge,Phase 2,COVID-19|Lymphocytopenia,COVID-19|Lymphopenia,United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom
5,6,NCT04407689,"July 30, 2021",Comparison of the effects of CYT107 vs Placebo administered IM at 10μg/ kg twice a week for two weeks on immune reconstitution of lymphopenic COVID-19 patients.,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection FR BL Cohort,,,A statistically significant increase of the absolute lymphocyte count (ALC) from randomization to day 30 or Hospital Discharge,Phase 2,COVID-19|Lymphocytopenia,COVID-19|Lymphopenia,France|France|France|France|France|France
6,7,NCT04475185,December 2020,"The objective of our study is to carry out an evaluation of the safety and the effectiveness of the use of the MakAir respirator as useful supplement in situation of shortage of technical devices of assistance to the mechanical invasive ventilation, related to COVID-19 through a protocol in 3 successive sequences.",Safety and Effectiveness Assessment of the MakAir Artificial Ventilator,,,"Number of dysfunctions which can lead to or have led to ""respiratory"" adverse events or to serious adverse events (SAE)|Number of dysfunctions which can lead to or have led to ""respiratory"" adverse events or to serious adverse events (SAE)|Number of dysfunctions which can lead to or have led to ""respiratory"" adverse events or to serious adverse events (SAE)",Not Applicable,Acute Respiratory Distress Syndrome,"Respiratory Distress Syndrome|Respiratory Distress Syndrome, Newborn|Acute Lung Injury",France|France
7,8,NCT04426201,"December 30, 2021",Comparison of the effects of CYT107 vs Placebo administered IM at 10μg/kg twice a week for three weeks on immune reconstitution of lymphopenic COVID-19 patients,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O ),,,A statistically significant increase of the absolute lymphocyte count (ALC) from randomization to day 30 or HospitalDischarge,Phase 2,COVID-19|Lymphocytopenia,COVID-19|Lymphopenia,United States|United States
8,9,NCT04442178,"October 30, 2021",Comparison of the effects of CYT107 vs Placebo administered IM at 10μg/kg twice a week for three weeks on immune reconstitution of lymphopenic COVID-19 patients,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection ( ILIAD-7-US-I ),,,A statistically significant increase of the absolute lymphocyte count (ALC) from randomization to day 30 or Hospital Discharge,Phase 2,COVID-19|Lymphocytopenia,COVID-19|Lymphopenia,United States|United States|United States|United States|United States
9,10,NCT04367662,"May 14, 2020","Coronavirus COVID-19 is an emerging virus also called Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). Eighty percent of patients are poor or asymptomatic. However, there are major respiratory complications for some patients, requiring intensive care hospitalization and possibly leading to death in 5% of cases. One of the hypotheses put forward is that much of the pathophysiology is due to endothelial dysfunction associated with disseminated intravascular coagulation.||The covid-19 pathology could induce coagulation impairment as observed during sepsis. An increase in D-dimer levels during covid-19 disease is itself associated with excess mortality. While D-dimers are highly sensitive, they are not specific for clotting activity. They may be increased in many other circumstances, particularly in inflammation.||On the other hand, the infection stimulates the release of extracellular vesicles. These vesicles, of multiple cellular origin, are an actor of vascular homeostasis, and participate in the state of hyperactivation of coagulation. They have a major role in the prothrombotic state and the development of coagulopathy associated with sepsis.||The aim of our monocentric prospective study would be to study early and more specific markers of hypercoagulability and markers of routine endothelial dysfunction, as soon as the patient is hospitalized, in order to predict the risk of hospitalization in intensive care.",Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,,,Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling|Biological analysis using initial blood sampling,Not Applicable,COVID-19,COVID-19|Coronavirus Infections|Thrombophilia,France
